scan_time,event_ticker,gold_price,hours_left,threshold,bid,ask,fair_value,buy_edge,sell_edge,vol_24h,signal
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4750.0,0.48,0.54,0.8317,0.2917,-0.3517,0.0,BUY
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4730.0,0.56,0.66,0.9296,0.2696,-0.3696,1.0,BUY
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4740.0,0.52,0.62,0.8881,0.2681,-0.3681,17.0,BUY
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4760.0,0.44,0.5,0.7601,0.2601,-0.3201,2.0,BUY
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4720.0,0.6,0.7,0.9583,0.2583,-0.3583,0.0,BUY
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4710.0,0.63,0.74,0.9767,0.2367,-0.3467,0.0,BUY
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4770.0,0.39,0.45,0.6748,0.2248,-0.2848,0.0,BUY
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4690.0,0.7,0.77,0.994,0.2240,-0.2940,0.0,BUY
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4700.0,0.67,0.77,0.9878,0.2178,-0.3178,0.0,BUY
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4680.0,0.73,0.79,0.9972,0.2072,-0.2672,0.0,BUY
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4670.0,0.76,0.83,0.9988,0.1688,-0.2388,0.0,BUY
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4660.0,0.79,0.85,0.9995,0.1495,-0.2095,0.0,BUY
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4650.0,0.82,0.87,0.9998,0.1298,-0.1798,0.0,BUY
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4780.0,0.35,0.46,0.5797,0.1197,-0.2297,0.0,BUY
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4640.0,0.84,0.89,0.9999,0.1099,-0.1599,0.0,BUY
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4790.0,0.31,0.38,0.48,0.1000,-0.1700,0.0,BUY
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4630.0,0.86,0.92,1.0,0.0800,-0.1400,0.0,WEAK_BUY
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4620.0,0.88,0.92,1.0,0.0800,-0.1200,0.0,WEAK_BUY
2026-04-01 15:02 UTC,KXGOLDD-26APR0217,4788.00,6.0,4860.0,0.11,0.16,0.0376,-0.1224,0.0724,12.0,WEAK_SELL
